# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    68    42    41     1     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    68    42    42     5     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    42     1     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     1     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    68    42    42     1     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     2     1     0     0  1215  1410
    1    68    42    42     8     1     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     1     0     0     0  1215  1410
    1    68    42    42     0     0     0     0  1215  1410
    1    68    42    42     8     1     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     3     1     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     5     1     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    73    43    42    10     1     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     8     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     1     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     1     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42    10     1     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     9     1     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    43     8     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42    10     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     1     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    43    13     1     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     2     1     0     0  1215  1410
    1    68    43    42     1     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     8     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43    11     1     0     0  1215  1410
    1    69    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    43     8     1     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     1     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    76    43    43     9     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    68    43    43     8     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    43     1     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    77    43    43    11     1     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    69    43    43     9     1     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     1     0     0     0  1215  1410
    1    68    43    43     2     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     2     1     0     0  1215  1410
    1    68    43    43     7     1     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     1     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     1     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    73    44    43     6     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    70    44    43     9     1     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    68    43    43     0     0     0     0  1215  1410
    1    70    44    43     9     1     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    71    44    43    10     1     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     7     1     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    69    44    43     0     0     0     0  1215  1410
    1    68    44    43     2     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     8     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    73    44    43    10     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43    13     1     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    78    44    43     1     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    68    44    43     2     1     0     0  1215  1410
    1    69    44    43     8     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     8     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43    10     1     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    44    43    43     0     0     0     0  1215   660
    1    42    43    43     0     0     0     0  1215   420
    1    42    42    43     0     0     0     0  1215   270
