# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    68    44    43     2     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43    12     1     0     0  1215  1410
    1    68    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43    10     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     9     1     0     0  1215  1410
    1    68    44    43     1     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1   111    44    43     4     2     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     4     1     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     4     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     8     0     0     0  1215  1410
    1    69    44    43     4     1     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     5     2     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    68    44    43     9     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43    16     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     8     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43    16     0     0     0  1215  1410
    1    69    44    43     5     1     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1   104    44    44     9     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     9     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     8     0     0     0  1215  1410
    1    69    44    43     7     1     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    69    44    43     8     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43    11     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43    10     2     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     1     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    70    44    44     8     1     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    44     6     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44    17     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     1     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    70    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    70    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44    13     1     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44    11     0     0     0  1215  1410
    1    69    45    44     2     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    88    45    44    11     1     0     0  1215  1410
    1    69    45    44     0     0     0     0  1215  1410
    1    73    45    44     8     0     0     0  1215  1410
    1    69    45    44     0     0     0     0  1215  1410
    1    69    45    44     0     0     0     0  1215  1410
