# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    54    53     0     0     0     0  1215   210
    2    42    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    42    54    53     0     0     0     0  1215   210
    2    42    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    41    54    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    51     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    51     0     0     0     0  1215   210
    2    41    53    52     0     0     0     0  1215   210
    2    41    53    51     0     0     0     0  1215   210
    2    69    54    52     7     0     0     0  1215  1410
    2    70    54    52     0     0     0     0  1215  1410
    2    70    54    52     0     0     0     0  1215  1410
    2    70    54    52     0     0     0     0  1215  1410
    2    70    54    52     0     0     0     0  1215  1410
    2    70    54    52     0     0     0     0  1215  1410
    2    70    55    53     0     0     0     0  1215  1410
    2    70    55    53     0     0     0     0  1215  1410
    2    70    55    53     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    70    55    53     0     0     0     0  1215  1410
    2    74    55    53    18     0     0     0  1215  1410
    2    70    55    53     1     0     0     0  1215  1410
    2    71    55    53     9     1     0     0  1215  1410
    2    71    55    53     9     1     0     0  1215  1410
    2   101    55    53    16     1     0     0  1215  1410
    2    71    55    53    16     1     0     0  1215  1410
    2    71    55    53     9     1     0     0  1215  1410
    2    71    55    54     9     1     0     0  1215  1410
    2    87    56    54    10     2     0     0  1215  1410
    2    71    56    54    10     2     0     0  1215  1410
    2    71    56    54    10     1     0     0  1215  1410
    2    71    56    54    16     1     0     0  1215  1410
    2    71    56    54     9     1     0     0  1215  1410
    2    72    56    54    14     1     0     0  1215  1410
    2    82    56    54     9     1     0     0  1215  1410
    2    89    56    54    16     1     0     0  1215  1410
    2    88    56    54    16     1     0     0  1215  1410
    2    72    56    54    10     2     0     0  1215  1410
    2    72    56    54    10     2     0     0  1215  1410
    2    73    56    54     8     1     0     0  1215  1410
    2    76    56    54    18     2     0     0  1215  1410
    2    72    56    54     9     1     0     0  1215  1410
    2    92    56    54    10     1     0     0  1215  1410
    2    72    56    54     9     1     0     0  1215  1410
    2    72    56    54    10     2     0     0  1215  1410
    2    72    56    54    11     2     0     0  1215  1410
    2    72    57    55    15     1     0     0  1215  1410
    2    72    57    55    15     1     0     0  1215  1410
    2    72    57    55    16     1     0     0  1215  1410
