# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    69    49    48     0     0     0     0  1215  1410
    2    66    49    48    25     1     0     0  1215  1410
    2    66    49    48     0     0     0     0  1215  1410
    2    40    48    48     0     0     0     0  1215   285
    2    40    48    48     0     0     0     0  1215   210
    2    40    48    47     0     0     0     0  1215   210
    2    40    48    47     0     0     0     0  1215   210
    2    40    48    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    40    47    47     0     0     0     0  1215   210
    2    39    47    46     0     0     0     0  1215   210
    2    39    47    46     0     0     0     0  1215   210
    2    39    47    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    65    47    46     0     0     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    66    48    46     2     0     0     0  1215  1410
    2    65    48    46     2     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2   300    51    53     0     0     0     0  1215  1365
    2    67    48    47    49     1     0     0  1215  1410
    2   288    51    53   100    27     0     0  1215  1320
    2    65    48    47    34     1     0     0  1215  1410
    2   304    54    53   100    30     0     0  1215  1260
    2    65    49    47    51     1     0     0  1215  1410
    2    67    49    48     0     0     0     0  1215  1410
    2    70    53    54    76    44     0     0  1215  1260
    2    66    49    48     8     0     0     0  1215  1410
    2    68    49    48    39     1     0     0  1215  1410
    2    63    50    49    24    17     0     0  1215  1410
    2    66    49    48     0     0     0     0  1215  1410
    2    68    49    48    49     1     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    67    50    49     0     0     0     0  1215  1410
    2   281    52    55    13     9     0     0  1215  1305
    2    68    50    48    43     1     0     0  1215  1410
    2    67    50    49     0     0     0     0  1215  1410
