# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    66    47    46     0     0     0     0  1215  1410
    2    65    47    46    70     2     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    40    47    46     0     0     0     0  1215   270
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    45     0     0     0     0  1215   210
    2    39    46    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    64    45    45     7     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45    27     1     0     0  1215  1410
    2    64    46    45    14    11     0     0  1215  1410
    2    64    46    45    46     1     0     0  1215  1410
    2    66    46    45    30     1     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45    16    13     0     0  1215  1410
    2    66    46    45    47     1     0     0  1215  1410
    2    67    46    45    15     0     0     0  1215  1410
    2    66    46    45     0     0     0     0  1215  1410
    2    64    46    45    16    13     0     0  1215  1410
    2    68    47    46     0     0     0     0  1215  1410
    2    64    46    45    19     0     0     0  1215  1410
    2    64    46    45    49     1     0     0  1215  1410
    2    66    46    45    21     0     0     0  1215  1410
    2    65    46    45    19     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    64    47    45     0     0     0     0  1215  1410
    2    63    47    46    16    13     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45    34     1     0     0  1215  1410
    2    66    46    45    41     1     0     0  1215  1410
    2    66    47    46     5     0     0     0  1215  1410
    2    64    47    46     4     5     0     0  1215  1410
    2   266    47    46     4     3     0     0  1215  1410
    2    64    47    45    10     0     0     0  1215  1410
    2    64    47    46    46     1     0     0  1215  1410
    2    66    47    45    17     0     0     0  1215  1410
    2    64    47    45     0     0     0     0  1215  1410
    2    64    47    46    11     8     0     0  1215  1410
    2    64    48    48     0     0     0     0  1215  1410
    2    64    47    45    40     1     0     0  1215  1410
    2    66    47    45    37     1     0     0  1215  1410
    2    66    47    46    26     1     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    64    47    46    16    13     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    64    47    46    48     1     0     0  1215  1410
    2    66    47    46    17     0     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    64    47    46    16    13     0     0  1215  1410
    2    64    48    52     0     0     0     0  1215  1410
    2    64    47    46    22     0     0     0  1215  1410
    2    67    47    46    52     1     0     0  1215  1410
    2    66    47    46    15     0     0     0  1215  1410
    2    64    47    46    17    13     0     0  1215  1410
    2    71    48    47     0     0     0     0  1215  1410
    2    64    47    46    26     1     0     0  1215  1410
    2    66    47    46    10     0     0     0  1215  1410
    2    65    47    46    16    13     0     0  1215  1410
    2    64    47    46    16     0     0     0  1215  1410
    2    65    47    46    21     0     0     0  1215  1410
    2    66    47    46    21     0     0     0  1215  1410
    2    87    47    46    16    13     0     0  1215  1410
    2    64    47    46    10     0     0     0  1215  1410
    2    67    47    46    54     1     0     0  1215  1410
    2    66    47    46    18     0     0     0  1215  1410
    2    65    47    46    16    13     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    66    47    46    28     1     0     0  1215  1410
    2    65    47    46    16    13     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2   252    48    47     2     2     0     0  1215  1410
    2    65    47    46    33     1     0     0  1215  1410
    2    67    47    46     0     0     0     0  1215  1410
    2    66    47    46     0     0     0     0  1215  1410
    2    65    47    46    13    11     0     0  1215  1410
    2    65    47    46    16    13     0     0  1215  1410
    2    65    47    46    17     0     0     0  1215  1410
