# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    76    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    44    47    47     0     0     0     0  1215   225
    1    73    48    47     7     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    75    48    47    17     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    75    48    47     0     0     0     0  1215  1410
    1    75    48    47    27     1     0     0  1215  1410
    1    73    48    47    37     1     0     0  1215  1410
    1   162    49    48    30     1     0     0  1215  1410
    1    74    48    47     9     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    75    48    47    14     0     0     0  1215  1410
    1    75    48    47    37     1     0     0  1215  1410
    1    73    48    47    25     1     0     0  1215  1410
    1    80    49    48     8     5     0     0  1215  1410
    1    74    48    48     9     5     0     0  1215  1410
    1    74    48    47     2     0     0     0  1215  1410
    1    73    49    49    17     0     0     0  1215  1410
    1    73    48    47     9     5     0     0  1215  1410
    1    73    48    48     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    75    48    47     1     0     0     0  1215  1410
    1    75    48    48    11     0     0     0  1215  1410
    1    74    48    48    27     1     0     0  1215  1410
    1    75    48    48     1     0     0     0  1215  1410
    1    75    48    47    19     0     0     0  1215  1410
    1    74    48    47     3     1     0     0  1215  1410
    1    74    48    47    15     0     0     0  1215  1410
    1    75    48    47    37     1     0     0  1215  1410
    1    73    48    47     4     2     0     0  1215  1410
    1    75    48    47    29     1     0     0  1215  1410
    1    73    48    47    31     1     0     0  1215  1410
    1    73    48    47     3     1     0     0  1215  1410
    1    73    48    47    37     1     0     0  1215  1410
    1    73    48    47     3     2     0     0  1215  1410
    1    74    48    47     1     0     0     0  1215  1410
    1    76    48    47    35     1     0     0  1215  1410
    1    73    48    48     3     2     0     0  1215  1410
    1    76    48    47    10     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    75    49    47    27     1     0     0  1215  1410
    1    75    48    47     1     0     0     0  1215  1410
    1    73    48    48    21     0     0     0  1215  1410
    1    74    48    47    17     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    48     3     1     0     0  1215  1410
    1    74    48    47     7     1     0     0  1215  1410
    1    82    49    48     3     0     0     0  1215  1410
    1    73    48    47     4     1     0     0  1215  1410
    1    73    48    48     2     1     0     0  1215  1410
    1    74    48    47     5     1     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    49    48    24     1     0     0  1215  1410
    1    74    48    48     1     0     0     0  1215  1410
    1    74    48    47    43     1     0     0  1215  1410
    1    73    48    47     4     2     0     0  1215  1410
    1    73    48    48    32     1     0     0  1215  1410
    1    73    48    47     4     2     0     0  1215  1410
    1    75    48    47    10     0     0     0  1215  1410
    1    74    49    48     5     2     0     0  1215  1410
    1    76    48    48    38     1     0     0  1215  1410
    1    74    48    47     6     0     0     0  1215  1410
    1    73    48    47     6     0     0     0  1215  1410
    1    74    48    47     6     0     0     0  1215  1410
    1    74    48    48     4     2     0     0  1215  1410
    1    75    48    48     6     0     0     0  1215  1410
    1    74    48    48    29     1     0     0  1215  1410
    1    74    48    48     5     2     0     0  1215  1410
    1    73    48    47     4     2     0     0  1215  1410
    1    75    48    48    38     1     0     0  1215  1410
    1    75    48    47    11     2     0     0  1215  1410
    1    76    48    48    11     0     0     0  1215  1410
    1    78    49    48    30     1     0     0  1215  1410
    1    75    48    47     7     0     0     0  1215  1410
    1    73    48    48     3     2     0     0  1215  1410
    1    76    48    48    23     1     0     0  1215  1410
    1    74    48    48     0     0     0     0  1215  1410
    1    74    48    47     4     1     0     0  1215  1410
    1    74    49    48     4     1     0     0  1215  1410
    1    74    49    48     3     0     0     0  1215  1410
    1    74    48    47     7     1     0     0  1215  1410
    1    80    48    47     8     1     0     0  1215  1410
    1    73    48    48     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    48     0     0     0     0  1215  1410
    1    73    48    48    32     1     0     0  1215  1410
    1   100    49    48     9     0     0     0  1215  1410
    1    73    49    48     9     5     0     0  1215  1410
    1   170    49    48    11     0     0     0  1215  1410
    1    75    48    47     6     0     0     0  1215  1410
    1    75    48    47    22     1     0     0  1215  1410
