# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    37    31    31     0     0     0     0  1215   210
    1    37    31    31     0     0     0     0  1215   210
    1    37    31    31     0     0     0     0  1215   210
    1    37    31    32     0     0     0     0  1215   210
    1    37    31    31     0     0     0     0  1215   210
    1    37    31    31     0     0     0     0  1215   210
    1    61    32    32     0     0     0     0  1215  1410
    1    62    32    32     0     0     0     0  1215  1410
    1    62    32    32     0     0     0     0  1215  1410
    1    62    32    32     0     0     0     0  1215  1410
    1    62    32    32     0     0     0     0  1215  1410
    1    62    32    32     0     0     0     0  1215  1410
    1    87    33    33    11     3     0     0  1215  1410
    1    62    33    32     0     0     0     0  1215  1410
    1    63    33    33     7     0     0     0  1215  1410
    1    64    33    33    36     1     0     0  1215  1410
    1    62    33    34    29     1     0     0  1215  1410
    1    62    33    33     0     0     0     0  1215  1410
    1    65    33    33     1     0     0     0  1215  1410
    1    65    33    33    21     0     0     0  1215  1410
    1    62    34    36    36     1     0     0  1215  1410
    1    63    34    33    14    10     0     0  1215  1410
    1    63    33    33     0     0     0     0  1215  1410
    1    65    34    33     4     0     0     0  1215  1410
    1    65    34    33    29     1     0     0  1215  1410
    1    63    34    33    39     1     0     0  1215  1410
    1    63    35    36    40     1     0     0  1215  1410
    1    63    34    34    18    11     0     0  1215  1410
    1    63    34    34    39     1     0     0  1215  1410
    1    63    34    34    14    10     0     0  1215  1410
    1    63    34    34     0     0     0     0  1215  1410
    1    64    34    34     7     0     0     0  1215  1410
    1    64    34    34    39     1     0     0  1215  1410
    1    63    34    34     1     0     0     0  1215  1410
    1    63    34    34    33     1     0     0  1215  1410
    1    64    34    34     3     0     0     0  1215  1410
    1    63    34    35    25     1     0     0  1215  1410
    1    65    34    34    10     0     0     0  1215  1410
    1    63    35    35    23     1     0     0  1215  1410
    1    65    35    34    15     0     0     0  1215  1410
    1    64    35    35    21     0     0     0  1215  1410
    1    65    35    35    20     0     0     0  1215  1410
    1    63    35    35    14     4     0     0  1215  1410
    1    65    35    35    24     1     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    63    35    35    12     4     0     0  1215  1410
    1    64    35    35    34     1     0     0  1215  1410
    1    63    35    35     1     0     0     0  1215  1410
    1    64    35    35    34     1     0     0  1215  1410
    1    64    35    35     0     0     0     0  1215  1410
    1    65    35    35    11     3     0     0  1215  1410
    1    66    35    35    19     0     0     0  1215  1410
