# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    55    53     0     0     0     0  1215   210
    2    42    54    53     0     0     0     0  1215   210
    2    42    54    53     0     0     0     0  1215   210
    2    42    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    53     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    41    54    52     0     0     0     0  1215   210
    2    70    55    53     3     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    70    55    53     0     0     0     0  1215  1410
    2    70    55    53     0     0     0     0  1215  1410
    2    70    55    53     0     0     0     0  1215  1410
    2    71    55    53     0     0     0     0  1215  1410
    2    71    55    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54     0     0     0     0  1215  1410
    2    71    56    54    27     0     0     0  1215  1410
    2    72    56    54     0     0     0     0  1215  1410
    2    72    56    55     1     0     0     0  1215  1410
    2    72    56    55     0     0     0     0  1215  1410
    2    74    56    54    54     1     0     0  1215  1410
    2    74    57    55    78     1     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    70    58    56    21    15     0     0  1215  1395
    2    72    57    55    23    16     0     0  1215  1410
    2    72    57    55    69     1     0     0  1215  1410
    2    72    58    60    12     0     0     0  1215  1410
    2    74    57    55    37     0     0     0  1215  1410
    2    72    57    55    75     1     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    75    57    56    20     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    75    58    56    23    16     0     0  1215  1410
    2    73    58    56     0     0     0     0  1215  1410
    2   201    59    58     9     6     0     0  1215  1410
    2   144    59    57    24    17     0     0  1215  1410
    2    73    58    56    21     0     0     0  1215  1410
    2   262    60    63    11     7     0     0  1215  1215
    2    75    58    56    76     1     0     0  1215  1410
    2    74    58    56    71     1     0     0  1215  1410
    2    75    58    56    16     0     0     0  1215  1410
    2    75    58    56    54     1     0     0  1215  1410
    2    75    58    56    24     0     0     0  1215  1410
    2    76    58    56    51     1     0     0  1215  1410
    2    76    58    56     0     0     0     0  1215  1410
    2    76    58    56    55     1     0     0  1215  1410
    2    76    58    56     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    76    58    57    26     0     0     0  1215  1410
    2    76    58    57     0     0     0     0  1215  1410
    2    76    59    57    56     1     0     0  1215  1410
    2    75    59    57     0     0     0     0  1215  1410
    2    76    59    57    36     0     0     0  1215  1410
    2    75    59    57     0     0     0     0  1215  1410
    2    76    59    57    43     1     0     0  1215  1410
    2    74    59    57     0     0     0     0  1215  1410
    2    76    59    57     8     7     0     0  1215  1410
    2    75    59    57     6     0     0     0  1215  1410
    2    76    59    57    50     1     0     0  1215  1410
    2    76    59    57    14     0     0     0  1215  1410
    2    76    59    57    75     1     0     0  1215  1410
