# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    75    61    59     0     0     0     0  1215  1410
    2    75    61    59     0     0     0     0  1215  1410
    2    75    60    59     0     0     0     0  1215   285
    2    44    59    58     0     0     0     0  1215   210
    2    44    59    58     0     0     0     0  1215   210
    2    44    59    58     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    43    58    57     0     0     0     0  1215   210
    2    44    58    57     0     0     0     0  1215   210
    2    43    58    57     0     0     0     0  1215   210
    2    43    58    57     0     0     0     0  1215   210
    2    43    58    57     0     0     0     0  1215   210
    2    43    58    57     0     0     0     0  1215   210
    2    43    58    57     0     0     0     0  1215   210
    2    43    58    56     0     0     0     0  1215   210
    2    43    58    56     0     0     0     0  1215   210
    2    43    58    57     0     0     0     0  1215   210
    2    43    58    56     0     0     0     0  1215   210
    2    43    58    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    56     0     0     0     0  1215   210
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    43    57    56     0     0     0     0  1215   210
    2    43    57    55     0     0     0     0  1215   210
    2    43    57    55     0     0     0     0  1215   210
    2    43    57    55     0     0     0     0  1215   210
    2    43    57    55     0     0     0     0  1215   210
    2    43    57    55     0     0     0     0  1215   210
    2    43    57    55     0     0     0     0  1215   210
    2    43    56    55     0     0     0     0  1215   210
    2    43    56    55     0     0     0     0  1215   210
    2    43    56    55     0     0     0     0  1215   210
    2    43    56    55     0     0     0     0  1215   210
    2    43    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    43    56    55     0     0     0     0  1215   210
    2    43    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    55     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    56    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    42    55    54     0     0     0     0  1215   210
    2    72    56    54     8     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    72    57    55     0     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    73    57    55     0     0     0     0  1215  1410
    2    72    57    55     0     0     0     0  1215  1410
    2    73    57    55     0     0     0     0  1215  1410
    2    73    58    56     0     0     0     0  1215  1410
    2    73    58    56     0     0     0     0  1215  1410
    2    73    58    56     0     0     0     0  1215  1410
    2    73    58    56    25     0     0     0  1215  1410
    2    73    58    56     0     0     0     0  1215  1410
    2    75    58    56     5     0     0     0  1215  1410
    2    73    58    56     0     0     0     0  1215  1410
    2    73    58    56     9     7     0     0  1215  1410
    2    73    58    56     9     7     0     0  1215  1410
    2    75    58    56     0     0     0     0  1215  1410
    2    76    58    56    42     1     0     0  1215  1410
    2    73    58    56     0     0     0     0  1215  1410
    2    75    58    56    62     1     0     0  1215  1410
    2    74    58    56     0     0     0     0  1215  1410
    2    83    59    57     9     7     0     0  1215  1410
    2    74    59    57     0     0     0     0  1215  1410
    2    74    58    57    29     0     0     0  1215  1410
    2    76    59    57    72     1     0     0  1215  1410
    2    74    59    57    69     1     0     0  1215  1410
    2    74    59    59     0     0     0     0  1215  1410
    2    76    59    57    44     1     0     0  1215  1410
    2    74    59    57    79     1     0     0  1215  1410
    2    76    59    57    65     1     0     0  1215  1410
    2    74    59    57    58     1     0     0  1215  1410
    2    75    59    57    32     0     0     0  1215  1410
    2    74    59    57    76     1     0     0  1215  1410
    2    76    59    57    55     1     0     0  1215  1410
    2    74    59    57    69     1     0     0  1215  1410
    2    74    59    57    74     1     0     0  1215  1410
    2    76    59    57    53     1     0     0  1215  1410
    2    74    59    57    65     1     0     0  1215  1410
    2    74    59    57    62     1     0     0  1215  1410
    2    74    59    57     6     0     0     0  1215  1410
    2    74    59    58    11     0     0     0  1215  1410
    2    74    61    60     4     3     0     0  1215  1410
    2    74    60    58    53     1     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    74    60    58     0     0     0     0  1215  1410
    2    74    60    58    67     1     0     0  1215  1410
    2    75    60    59     0     0     0     0  1215  1410
    2    75    60    58    76     1     0     0  1215  1410
    2    77    60    58    75     1     0     0  1215  1410
    2    75    60    58    78     1     0     0  1215  1410
    2    75    60    58    55     1     0     0  1215  1410
    2    74    60    58    53     1     0     0  1215  1410
    2   157    60    59     0     0     0     0  1215  1410
    2    75    60    58    12     0     0     0  1215  1410
    2    75    60    58     9     7     0     0  1215  1410
    2    75    60    58     0     0     0     0  1215  1410
    2    75    60    58     9     7     0     0  1215  1410
    2   105    60    59    13     0     0     0  1215  1410
    2    75    60    58     9     7     0     0  1215  1410
    2    75    60    58     0     0     0     0  1215  1410
    2    75    60    58     0     0     0     0  1215  1410
    2    75    60    58    21     0     0     0  1215  1410
    2    75    60    58     7     0     0     0  1215  1410
    2    75    60    58     2     0     0     0  1215  1410
    2    75    60    58     2     0     0     0  1215  1410
    2    75    60    58     2     0     0     0  1215  1410
    2    75    60    58     2     0     0     0  1215  1410
    2    75    60    58     3     0     0     0  1215  1410
    2    75    60    58     2     0     0     0  1215  1410
    2    75    60    58     3     0     0     0  1215  1410
    2    75    60    58     3     0     0     0  1215  1410
    2    75    60    58     7     5     0     0  1215  1410
    2    78    60    58    53     1     0     0  1215  1410
    2    77    60    58    37     0     0     0  1215  1410
    2    75    60    58    76     1     0     0  1215  1410
    2    78    60    58    49     1     0     0  1215  1410
    2    75    60    58    80     1     0     0  1215  1410
    2    90    61    59     9     0     0     0  1215  1410
    2    75    60    58     0     0     0     0  1215  1410
    2    76    60    58     9     7     0     0  1215  1410
    2    75    61    60     0     0     0     0  1215  1410
    2    75    61    63     0     0     0     0  1215  1410
    2    76    60    59    10     0     0     0  1215  1410
    2    80    61    59     9     7     0     0  1215  1410
    2    75    60    59    24     0     0     0  1215  1410
    2    93    61    59     5     3     0     0  1215  1410
    2    75    61    61     0     0     0     0  1215  1410
    2    76    61    59     9     7     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    77    61    59     9     7     0     0  1215  1410
    2    76    61    59     9     7     0     0  1215  1410
    2    94    61    59     4     3     0     0  1215  1410
    2    76    61    59     9     7     0     0  1215  1410
    2    76    61    59     9     7     0     0  1215  1410
    2    76    60    59     6     0     0     0  1215  1410
    2    76    60    59     8     0     0     0  1215  1410
    2    76    60    58     7     0     0     0  1215  1410
    2    76    60    59    64     1     0     0  1215  1410
    2    85    61    59     9     7     0     0  1215  1410
    2   160    61    59     9     7     0     0  1215  1410
    2    75    61    59     0     0     0     0  1215  1410
    2    89    61    59     9     7     0     0  1215  1410
    2    75    61    59     5     4     0     0  1215  1410
    2    75    61    59     5     4     0     0  1215  1410
    2    75    61    59     0     0     0     0  1215  1410
    2    77    61    59    12     0     0     0  1215  1410
    2    75    61    59     0     0     0     0  1215  1410
    2    77    61    59    46     1     0     0  1215  1410
    2    77    61    59     3     0     0     0  1215  1410
    2    78    61    59    57     1     0     0  1215  1410
    2    77    61    59    19     0     0     0  1215  1410
    2    77    61    59    78     1     0     0  1215  1410
    2    78    61    59    53     1     0     0  1215  1410
    2    75    61    59    62     1     0     0  1215  1410
    2    75    61    59    61     1     0     0  1215  1410
    2   106    61    59     3     0     0     0  1215  1410
    2    76    61    59     6     4     0     0  1215  1410
    2    77    61    59    34     0     0     0  1215  1410
    2    75    61    59     1     0     0     0  1215  1410
    2    75    60    59     7     0     0     0  1215  1410
    2    75    60    59     7     0     0     0  1215  1410
    2    75    61    59     9     7     0     0  1215  1410
    2    75    61    59     5     4     0     0  1215  1410
    2    75    60    59     0     0     0     0  1215  1410
    2    77    61    59    50     1     0     0  1215  1410
    2    77    60    59    29     0     0     0  1215  1410
    2    78    61    59    77     1     0     0  1215  1410
    2    75    60    59    25     0     0     0  1215  1410
    2    75    61    60     0     0     0     0  1215  1410
    2    76    61    59     9     7     0     0  1215  1410
    2    76    61    59     9     7     0     0  1215  1410
    2    77    61    59     0     0     0     0  1215  1410
    2    77    61    59     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    78    61    59     4     0     0     0  1215  1410
    2    77    61    59     0     0     0     0  1215  1410
    2    78    61    59    44     1     0     0  1215  1410
    2    76    61    59    69     1     0     0  1215  1410
    2    76    61    59     0     0     0     0  1215  1410
    2    76    61    61     0     0     0     0  1215  1410
