# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    65    47    46     0     0     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    39    46    46     0     0     0     0  1215   240
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    44     0     0     0     0  1215   210
    2    39    44    44     0     0     0     0  1215   210
    2    39    44    44     0     0     0     0  1215   210
    2    39    44    44     0     0     0     0  1215   210
    2    63    45    44     3     0     0     0  1215  1410
    2    64    45    44     0     0     0     0  1215  1410
    2    64    45    45     0     0     0     0  1215  1410
    2    64    46    44     0     0     0     0  1215  1410
    2    64    46    44     0     0     0     0  1215  1410
    2    64    46    44     0     0     0     0  1215  1410
    2    64    46    45    41     1     0     0  1215  1410
    2   265    48    47    26    20     0     0  1215  1380
    2    64    46    45     0     0     0     0  1215  1410
    2    66    46    45    47     1     0     0  1215  1410
    2    66    46    45    20     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45    38     1     0     0  1215  1410
    2    66    46    45    41     1     0     0  1215  1410
    2    66    46    45     0     0     0     0  1215  1410
    2    64    47    45    34    25     0     0  1215  1410
    2    64    46    46     0     0     0     0  1215  1410
    2    64    46    45    48     1     0     0  1215  1410
    2    68    46    45    51     2     0     0  1215  1410
    2    66    46    45    55     1     0     0  1215  1410
    2    66    46    45     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    65    47    46    34    25     0     0  1215  1410
    2    64    49    50     0     9     0     0  1215  1260
    2    66    46    45    28     1     0     0  1215  1410
    2    66    47    45    40     1     0     0  1215  1410
    2    65    47    45     0     0     0     0  1215  1410
    2    63    47    46    32    24     0     0  1215  1410
    2    64    47    45     0     0     0     0  1215  1410
    2    65    47    45    45     1     0     0  1215  1410
    2    66    47    45    34     1     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2   238    48    47    34    25     0     0  1215  1395
    2    64    47    46     0     0     0     0  1215  1410
    2    64    47    46    35     1     0     0  1215  1410
    2    66    47    46    46     1     0     0  1215  1410
    2    66    47    46     7     0     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2   183    50    54     0     0     0     0  1215  1365
    2    64    47    46    50     1     0     0  1215  1410
    2    66    47    46    20     0     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2   281    49    48     0     0     0     0  1215  1365
    2    66    47    46    47     1     0     0  1215  1410
    2    66    47    46    39     1     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2   215    49    51     0     0     0     0  1215  1260
    2    65    47    46    42     1     0     0  1215  1410
    2    66    47    46    34     1     0     0  1215  1410
    2    64    48    47    18    13     0     0  1215  1410
    2    65    47    46     4     0     0     0  1215  1410
    2    66    47    46    21     0     0     0  1215  1410
    2    65    48    47    34    25     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    67    47    46    51     1     0     0  1215  1410
    2    67    48    46    13     0     0     0  1215  1410
    2    64    48    47    34    25     0     0  1215  1395
    2    65    48    46    39     1     0     0  1215  1410
    2    67    48    46     0     0     0     0  1215  1410
    2    65    48    47    33    25     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    67    48    46    39     1     0     0  1215  1410
    2    65    48    47    13    11     0     0  1215  1410
    2    65    48    46    10     0     0     0  1215  1410
    2    67    48    47    40     1     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    65    48    46     0     0     0     0  1215  1410
