# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    72    47    46     4     0     0     0  1215  1410
    2    65    47    46    84     3     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    39    46    46     0     0     0     0  1215   240
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    46     0     0     0     0  1215   210
    2    39    46    45     0     0     0     0  1215   210
    2    39    46    45     0     0     0     0  1215   210
    2    39    46    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    45     0     0     0     0  1215   210
    2    39    45    44     0     0     0     0  1215   210
    2    39    45    44     0     0     0     0  1215   210
    2    39    44    44     0     0     0     0  1215   210
    2    39    44    44     0     0     0     0  1215   210
    2    39    44    44     0     0     0     0  1215   210
    2    38    44    44     0     0     0     0  1215   210
    2    38    44    44     0     0     0     0  1215   210
    2    38    44    44     0     0     0     0  1215   210
    2    38    44    44     0     0     0     0  1215  1410
    2    63    45    44     2     0     0     0  1215  1410
    2    63    45    44     0     0     0     0  1215  1410
    2    63    45    44     0     0     0     0  1215  1410
    2    63    45    44     0     0     0     0  1215  1410
    2    63    45    44     0     0     0     0  1215  1410
    2    66    45    44    11     0     0     0  1215  1410
    2    63    45    44     0     0     0     0  1215  1410
    2    63    46    44     0     0     0     0  1215  1410
    2    64    46    45    13    11     0     0  1215  1410
    2    63    46    44     0     0     0     0  1215  1410
    2    63    46    44    55     1     0     0  1215  1410
    2    64    46    44     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    64    46    45    13    11     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45    48     1     0     0  1215  1410
    2    66    46    45    42     1     0     0  1215  1410
    2    65    46    45     0     0     0     0  1215  1410
    2    64    46    45    13    11     0     0  1215  1410
    2    70    46    45    13    11     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    65    46    45    53     1     0     0  1215  1410
    2    65    46    45    52     1     0     0  1215  1410
    2    65    46    45     7     0     0     0  1215  1410
    2    64    46    45     3     4     0     0  1215  1410
    2   143    46    45    13    11     0     0  1215  1410
    2    64    46    45    16     0     0     0  1215  1410
    2    66    46    45    51     1     0     0  1215  1410
    2    65    46    45    16     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    66    46    45     4     3     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45    60     1     0     0  1215  1410
    2    66    46    45     9     0     0     0  1215  1410
    2    64    46    45     7     6     0     0  1215  1410
    2    66    47    46     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    66    46    45    57     1     0     0  1215  1410
    2    65    46    45    30     1     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    65    46    46    13    11     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    46    45    44     1     0     0  1215  1410
    2    66    46    45    47     1     0     0  1215  1410
    2    66    46    45     0     0     0     0  1215  1410
    2    64    46    45     4     4     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    65    46    45    46     1     0     0  1215  1410
    2    66    46    45     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    64    47    46    13    11     0     0  1215  1410
    2    64    47    47     0     0     0     0  1215  1410
    2    64    46    45    30     1     0     0  1215  1410
    2    64    46    45    55     0     0     0  1215  1410
    2    66    46    45    45     1     0     0  1215  1410
    2    64    47    45     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    66    46    45    42     1     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    64    46    45     0     0     0     0  1215  1410
    2    67    47    45    59     1     0     0  1215  1410
    2    64    47    45     0     0     0     0  1215  1410
    2    66    47    46    13    11     0     0  1215  1410
    2    64    47    45    11     0     0     0  1215  1410
    2    66    47    45    46     1     0     0  1215  1410
    2    66    47    45     0     0     0     0  1215  1410
    2    65    47    46     5     4     0     0  1215  1410
    2    64    47    45     9     0     0     0  1215  1410
    2    66    47    45    42     1     0     0  1215  1410
    2    64    47    45     0     0     0     0  1215  1410
    2    70    47    46     0     0     0     0  1215  1410
    2    64    47    45    27     0     0     0  1215  1410
    2    66    47    45    32     1     0     0  1215  1410
    2    66    47    46     0     0     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2   101    48    47    13    11     0     0  1215  1410
    2    64    47    45     0     0     0     0  1215  1410
    2    66    47    45    44     1     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    64    48    48     1     1     0     0  1215  1410
    2    66    47    46    43     1     0     0  1215  1410
    2    67    47    46     7     0     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    64    47    46    13    11     0     0  1215  1410
    2    66    47    46     4     3     0     0  1215  1410
    2    64    48    47     0     0     0     0  1215  1410
    2    64    47    46    65     1     0     0  1215  1410
    2    67    47    46    43     1     0     0  1215  1410
    2    66    47    46     0     0     0     0  1215  1410
    2    64    47    46     0     0     0     0  1215  1410
    2    65    47    46     8     6     0     0  1215  1410
    2    64    47    46    20     0     0     0  1215  1410
    2    64    47    46    15     0     0     0  1215  1410
    2    67    47    46    61     1     0     0  1215  1410
    2    66    47    46    25     0     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    65    47    46    13    11     0     0  1215  1410
    2    65    47    48     0     0     0     0  1215  1410
    2    65    47    46    15     0     0     0  1215  1410
    2    67    47    46    55     1     0     0  1215  1410
    2    66    47    46    15     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    65    47    46     0     0     0     0  1215  1410
    2    65    47    46    13    11     0     0  1215  1410
    2    64    49    49     0     0     0     0  1215  1410
    2    65    47    46    55     1     0     0  1215  1410
    2    67    47    46    38     1     0     0  1215  1410
    2    67    47    46     0     0     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    65    47    46    13    11     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    65    47    46    35     1     0     0  1215  1410
    2    67    47    46    60     1     0     0  1215  1410
    2    67    47    46    19     0     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    65    47    46    13    11     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    65    47    46    42     1     0     0  1215  1410
    2    67    47    46    64     1     0     0  1215  1410
    2    67    47    46     0     0     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    65    48    46    13    11     0     0  1215  1410
    2   154    48    48     0     0     0     0  1215  1410
    2    65    47    46    49     1     0     0  1215  1410
    2    67    47    46    39     1     0     0  1215  1410
    2    66    47    46     0     0     0     0  1215  1410
    2    65    47    46     0     0     0     0  1215  1410
    2    65    48    46    13    11     0     0  1215  1410
    2   176    49    49    12    10     0     0  1215  1410
    2    65    47    46    25     0     0     0  1215  1410
    2    67    47    46    51     1     0     0  1215  1410
    2    66    47    46     4     0     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    78    48    47    13    11     0     0  1215  1410
    2    65    47    46     6     0     0     0  1215  1410
    2    67    48    46    63     1     0     0  1215  1410
    2    67    48    46    28     1     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    46    13    11     0     0  1215  1410
    2   153    49    49     0     0     0     0  1215  1410
    2    65    48    46    43     1     0     0  1215  1410
    2    66    48    46    60     1     0     0  1215  1410
    2    66    48    46     0     0     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    47    10     8     0     0  1215  1410
    2    65    48    46    22     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    65    48    46    63     1     0     0  1215  1410
    2    67    48    46    54     1     0     0  1215  1410
    2    66    48    46     5     0     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    67    48    47    13    11     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    46    49     1     0     0  1215  1410
    2    67    48    47    42     1     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    46     1     1     0     0  1215  1410
    2    66    48    47     3     2     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    46    55     1     0     0  1215  1410
    2    67    48    47    29     1     0     0  1215  1410
    2    65    48    46     0     0     0     0  1215  1410
    2    65    48    47    13    11     0     0  1215  1410
    2    65    49    50     0     0     0     0  1215  1410
    2    65    48    46    59     1     0     0  1215  1410
    2    67    48    47    55     1     0     0  1215  1410
    2    66    48    47    22     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    68    48    47    13    11     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    66    48    46    54     1     0     0  1215  1410
    2    67    48    47    32     1     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47     8     7     0     0  1215  1410
    2   103    50    49     0     0     0     0  1215  1410
    2    65    48    47    29     0     0     0  1215  1410
    2    65    48    47    64     1     0     0  1215  1410
    2    67    48    47    38     1     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    13    11     0     0  1215  1410
    2   172    49    49     0     0     0     0  1215  1410
    2    65    48    47    55     1     0     0  1215  1410
    2    67    48    46    58     1     0     0  1215  1410
    2    67    48    47    40     1     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    10     8     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    20     0     0     0  1215  1410
    2    67    48    47    56     1     0     0  1215  1410
    2    67    48    47    22     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    68    48    47    13    11     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    33     1     0     0  1215  1410
    2    65    48    47    57     1     0     0  1215  1410
    2    67    48    47    10     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    13    11     0     0  1215  1410
    2   188    49    49     0     0     0     0  1215  1410
    2    65    48    47    29     0     0     0  1215  1410
    2    67    48    47    54     1     0     0  1215  1410
    2    67    48    47    46     1     0     0  1215  1410
    2    65    48    47     1     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2   161    50    49     7     5     0     0  1215  1410
    2    65    48    47    19     0     0     0  1215  1410
    2    67    48    47    54     1     0     0  1215  1410
    2    67    48    47     7     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    66    48    47    13    11     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    46     1     0     0  1215  1410
    2    65    48    47     1     0     0     0  1215  1410
    2    65    48    47     6     0     0     0  1215  1410
    2   168    49    50     0     0     0     0  1215  1395
    2    65    48    47    35     1     0     0  1215  1410
    2    66    48    47    56     1     0     0  1215  1410
    2    67    48    47    17     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    13    11     0     0  1215  1410
    2    67    49    48    13    11     0     0  1215  1395
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    31     1     0     0  1215  1410
    2    67    48    47    52     1     0     0  1215  1410
    2    67    48    47    29     1     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    13    11     0     0  1215  1410
    2   223    49    48     9     7     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47    22     0     0     0  1215  1410
    2    67    48    47    54     1     0     0  1215  1410
    2    67    48    47    41     1     0     0  1215  1410
    2    67    48    47    12     0     0     0  1215  1410
    2    66    48    47     0     0     0     0  1215  1410
    2    65    48    47    13    11     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    65    48    47     3     1     0     0  1215  1410
    2    67    48    47    32     1     0     0  1215  1410
    2    65    48    47     3     1     0     0  1215  1410
    2    65    48    47    37     1     0     0  1215  1410
    2    65    48    47     0     0     0     0  1215  1410
    2    68    48    47     7     1     0     0  1215  1410
    2    67    48    47    26     0     0     0  1215  1410
    2    65    48    47     4     1     0     0  1215  1410
    2    65    48    47    16     0     0     0  1215  1410
