# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    40    38    38     0     0     0     0  1215   210
    1    40    38    38     0     0     0     0  1215   210
    1    40    38    38     0     0     0     0  1215   210
    1    40    38    38     0     0     0     0  1215   210
    1    65    39    38     7     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39    24     0     0     0  1215  1410
    1    65    40    40     0     0     0     0  1215  1410
    1    65    40    39    17     0     0     0  1215  1410
    1   130    42    47    12     1     0     0  1215  1320
    1   188    43    48    29    25     0     0  1215  1380
    1   283    45    49    56    45     0     0  1215  1320
    1    77    42    44    74    63     0     0  1215  1380
    1    66    42    42    73    62     0     0  1215  1395
    1    66    42    42    60    49     0     0  1215  1410
    1    69    41    40   100     3     0     0  1215  1410
    1    67    41    42    25     1     0     0  1215  1410
    1   136    44    46    11     1     0     0  1215  1365
    1   234    44    46    99    27     0     0  1215  1410
    1   239    45    51    18    17     0     0  1215  1350
    1   261    43    45    55    44     0     0  1215  1395
    1   134    43    43    75    63     0     0  1215  1395
    1    69    42    41    15     0     0     0  1215  1410
    1    69    42    41    13     0     0     0  1215  1410
    1    70    42    41    28     1     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    68    42    41     0     0     0     0  1215  1410
    1    68    42    41     3     0     0     0  1215  1410
    1    69    42    41    30     1     0     0  1215  1410
    1    67    42    41     4     2     0     0  1215  1410
    1    69    42    41     0     0     0     0  1215  1410
    1    67    42    42    45     1     0     0  1215  1410
    1    67    42    41    14     0     0     0  1215  1410
    1    67    42    41     3     2     0     0  1215  1410
    1    67    42    41     4     0     0     0  1215  1410
    1    69    42    41    39     1     0     0  1215  1410
    1    67    42    41     3     2     0     0  1215  1410
    1    69    42    41    32     1     0     0  1215  1410
    1    67    42    41     8     0     0     0  1215  1410
    1    67    42    41     1     0     0     0  1215  1410
    1    69    42    41    38     1     0     0  1215  1410
    1    67    42    41     3     2     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    68    42    41     6     0     0     0  1215  1410
    1    77    42    41    34     1     0     0  1215  1410
    1    67    42    41     3     2     0     0  1215  1410
    1    69    42    41    24     1     0     0  1215  1410
    1    67    42    41     8     2     0     0  1215  1410
    1    67    42    41    44     1     0     0  1215  1410
    1    67    42    41     6     2     0     0  1215  1410
    1    67    42    42    44     2     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    67    42    41     0     0     0     0  1215  1410
    1    70    42    41   100     3     0     0  1215  1410
    1    68    43    42    41    32     0     0  1215  1410
    1    77    43    42   100     3     0     0  1215  1335
    1    68    43    42     7     0     0     0  1215  1410
    1   318    46    50     8     4     0     0  1215  1365
    1    68    43    43     5     0     0     0  1215  1410
    1    68    44    44    54    46     0     0  1215  1410
    1    68    43    42    88     3     0     0  1215  1410
    1    68    43    43     5     0     0     0  1215  1410
    1    68    44    44    56    46     0     0  1215  1410
    1    69    47    53     1     0     0     0  1215  1290
    1    69    44    43     6     0     0     0  1215  1410
    1    69    44    44    55    46     0     0  1215  1410
    1   225    47    52     1     0     0     0  1215  1320
    1    69    44    44     8     0     0     0  1215  1410
    1    68    45    45    35    31     0     0  1215  1395
    1    69    44    44     6     0     0     0  1215  1410
    1    69    45    44    53    39     0     0  1215  1410
    1    68    45    45    10     7     0     0  1215  1395
    1   304    47    51     1     0     0     0  1215  1365
    1    69    45    44     0     0     0     0  1215  1410
    1    69    44    44     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1    69    44    43     7     0     0     0  1215  1410
    1    71    44    43     3     2     0     0  1215  1410
    1    71    44    43    16     0     0     0  1215  1410
    1    69    44    43    32     1     0     0  1215  1410
    1    69    44    43     4     2     0     0  1215  1410
    1    71    44    43    29     1     0     0  1215  1410
    1    69    44    43     5     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    71    44    43     7     0     0     0  1215  1410
    1    69    44    44    34     1     0     0  1215  1410
    1    69    44    43    14     0     0     0  1215  1410
    1    71    44    43    26     1     0     0  1215  1410
    1    70    44    43     4     2     0     0  1215  1410
    1    71    44    43    42     1     0     0  1215  1410
    1    69    44    43     4     2     0     0  1215  1410
    1    70    44    43    34     1     0     0  1215  1410
    1    68    44    44     9     0     0     0  1215  1410
    1    70    44    43    11     0     0     0  1215  1410
    1    70    44    43    42     1     0     0  1215  1410
    1    69    44    43     4     2     0     0  1215  1410
    1    70    44    43    25     1     0     0  1215  1410
    1    69    44    43     3     2     0     0  1215  1410
    1    70    44    43    17     0     0     0  1215  1410
    1    68    44    43     0     0     0     0  1215  1410
    1    69    44    43     0     0     0     0  1215  1410
    1   105    46    47     3     0     0     0  1215  1395
    1    69    45    44     8     0     0     0  1215  1410
    1    69    48    51     0     0     0     0  1215  1215
    1    71    45    45    53    40     0     0  1215  1410
    1   262    48    54     0     0     0     0  1215  1290
    1    69    45    45    31    18     0     0  1215  1410
    1    72    46    46    52    35     0     0  1215  1410
    1    70    48    53    18    13     0     0  1215  1215
    1    70    45    45     3     0     0     0  1215  1410
    1    70    46    46    46    30     0     0  1215  1410
    1    70    48    47     1     0     0     0  1215  1410
    1    70    46    45     6     0     0     0  1215  1410
    1    69    46    46    52    43     0     0  1215  1410
    1   226    49    52    32    29     0     0  1215  1380
    1    70    49    53     1     0     0     0  1215  1230
    1    71    46    46     6     0     0     0  1215  1410
    1    72    46    46    24    14     0     0  1215  1410
    1    71    46    46     7     0     0     0  1215  1410
    1    71    47    46    45    38     0     0  1215  1410
    1    70    46    45     0     0     0     0  1215  1410
    1    70    46    45     0     0     0     0  1215  1410
    1    70    46    45     0     0     0     0  1215  1410
    1    70    46    45     0     0     0     0  1215  1410
    1    70    46    45     0     0     0     0  1215  1410
    1    72    46    45     9     0     0     0  1215  1410
    1    70    46    45     0     0     0     0  1215  1410
    1    71    46    46    25    25     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    71    47    46     0     0     0     0  1215  1410
    1    71    47    46     0     0     0     0  1215  1410
    1    71    46    45     0     0     0     0  1215  1410
    1    71    47    46     0     0     0     0  1215  1410
    1    71    47    46     0     0     0     0  1215  1410
    1    74    47    46     2     0     0     0  1215  1410
    1    74    47    46    10     0     0     0  1215  1410
    1    72    47    46     0     0     0     0  1215  1410
    1    74    47    46     0     0     0     0  1215  1410
    1    74    47    46     7     0     0     0  1215  1410
    1    74    47    47    10     0     0     0  1215  1410
    1    74    47    47    15     0     0     0  1215  1410
    1    75    47    47    25     1     0     0  1215  1410
    1    73    50    55    20     0     0     0  1215  1335
    1    70    48    48    73    62     0     0  1215  1395
    1    71    48    48    47    38     0     0  1215  1410
    1    72    48    48    57    46     0     0  1215  1410
    1    72    47    47     0     0     0     0  1215  1410
    1    83    47    46     9     0     0     0  1215  1410
    1    74    47    46     1     0     0     0  1215  1410
    1    74    47    47    34     1     0     0  1215  1410
    1    74    47    46     3     2     0     0  1215  1410
    1   106    47    46    34     1     0     0  1215  1410
    1    74    47    46     1     0     0     0  1215  1410
    1    75    47    46    28     1     0     0  1215  1410
    1    74    47    46     9     0     0     0  1215  1410
    1    72    47    46     4     2     0     0  1215  1410
    1    74    47    46    33     1     0     0  1215  1410
    1    72    47    46     3     2     0     0  1215  1410
