# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    38    33    34     0     0     0     0  1215   210
    1    38    33    34     0     0     0     0  1215   210
    1    38    33    34     0     0     0     0  1215   210
    1    38    33    34     0     0     0     0  1215   210
    1    38    33    34     0     0     0     0  1215   210
    1    38    33    34     0     0     0     0  1215   210
    1    38    33    34     0     0     0     0  1215   210
    1    62    34    34     0     0     0     0  1215  1410
    1    62    34    34     0     0     0     0  1215  1410
    1    62    35    34     0     0     0     0  1215  1410
    1    62    35    34     0     0     0     0  1215  1410
    1    62    35    35    14     0     0     0  1215  1410
    1    62    35    35     4     3     0     0  1215  1410
    1    62    35    35    33     1     0     0  1215  1410
    1    62    35    35    26     1     0     0  1215  1410
    1    62    35    35    40     1     0     0  1215  1410
    1    62    35    35     0     0     0     0  1215  1410
    1    64    35    35    39     1     0     0  1215  1410
    1    62    35    35    33     1     0     0  1215  1410
    1    62    35    35     2     0     0     0  1215  1410
    1    62    35    35     5     0     0     0  1215  1410
    1    62    35    35     5     0     0     0  1215  1410
    1    62    35    35     5     0     0     0  1215  1410
    1    64    35    35    40     1     0     0  1215  1410
    1    64    36    35    33     1     0     0  1215  1410
    1    63    36    36    42     1     0     0  1215  1410
    1    63    36    36    43     1     0     0  1215  1410
    1    63    36    36    42     1     0     0  1215  1410
    1    63    36    36    41     1     0     0  1215  1410
    1    63    36    36    41     1     0     0  1215  1410
    1    63    36    36    34     1     0     0  1215  1410
    1    63    36    36     6     4     0     0  1215  1410
    1    63    36    36     0     0     0     0  1215  1410
    1    63    36    36     0     0     0     0  1215  1410
    1    63    36    36     0     0     0     0  1215  1410
    1    63    36    36     0     0     0     0  1215  1410
    1    65    36    36    37     1     0     0  1215  1410
    1    63    36    36    16     0     0     0  1215  1410
    1    64    36    36     6     4     0     0  1215  1410
    1    65    36    36    19     0     0     0  1215  1410
    1    64    36    36    40     1     0     0  1215  1410
    1    63    36    36     0     0     0     0  1215  1410
    1    63    36    36     6     4     0     0  1215  1410
    1    65    36    36    36     1     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    63    37    36    21     0     0     0  1215  1410
    1    64    37    36     6     4     0     0  1215  1410
    1    65    37    37    21     0     0     0  1215  1410
    1    63    37    37    31     1     0     0  1215  1410
    1    63    37    36     4     3     0     0  1215  1410
    1    65    37    37     9     0     0     0  1215  1410
    1    63    37    36    44     1     0     0  1215  1410
    1    64    37    37    39     1     0     0  1215  1410
    1    64    37    37     0     0     0     0  1215  1410
    1    65    37    37     5     0     0     0  1215  1410
    1    64    37    37    38     1     0     0  1215  1410
    1    64    37    38     5     4     0     0  1215  1410
    1    63    37    37     6     4     0     0  1215  1410
    1    65    37    37    28     1     0     0  1215  1410
    1    63    37    37     0     0     0     0  1215  1410
    1    66    37    37     5     4     0     0  1215  1410
    1    63    37    37     5     4     0     0  1215  1410
    1    64    37    37     0     0     0     0  1215  1410
    1    64    37    37     1     0     0     0  1215  1410
    1    64    37    37     7     1     0     0  1215  1410
    1    64    37    37     2     0     0     0  1215  1410
    1    64    37    37     4     0     0     0  1215  1410
    1    67    37    37     2     0     0     0  1215  1410
    1    65    37    37     7     0     0     0  1215  1410
    1    64    37    37     0     0     0     0  1215  1410
    1    64    37    37     0     0     0     0  1215  1410
    1    64    37    37    25     1     0     0  1215  1410
    1    64    38    37     5     0     0     0  1215  1410
    1    64    38    37     5     0     0     0  1215  1410
    1    64    38    37     5     0     0     0  1215  1410
    1    65    38    38    10     0     0     0  1215  1410
    1    64    38    38    39     0     0     0  1215  1410
    1    68    38    37     6     4     0     0  1215  1410
    1    66    38    37    26     1     0     0  1215  1410
    1    64    38    38    24     1     0     0  1215  1410
    1    66    38    38     5     4     0     0  1215  1410
    1    66    38    38    12     0     0     0  1215  1410
    1    65    38    38    39     1     0     0  1215  1410
    1    64    38    38     0     0     0     0  1215  1410
    1    64    38    38     6     4     0     0  1215  1410
    1    66    38    38     4     0     0     0  1215  1410
    1    66    38    38    38     1     0     0  1215  1410
    1    64    38    38    26     1     0     0  1215  1410
    1    65    38    38     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    64    38    38     5     4     0     0  1215  1410
    1    65    38    38     6     4     0     0  1215  1410
    1    66    38    38    15     0     0     0  1215  1410
    1    64    38    38    37     1     0     0  1215  1410
    1    64    38    38    26     1     0     0  1215  1410
    1    64    38    38     6     4     0     0  1215  1410
    1    64    38    38    26     1     0     0  1215  1410
    1    65    39    38     3     0     0     0  1215  1410
    1    66    39    38    37     1     0     0  1215  1410
    1    65    39    38     0     0     0     0  1215  1410
    1    65    39    38     0     0     0     0  1215  1410
    1    70    39    38     1     0     0     0  1215  1410
    1    65    39    38     4     0     0     0  1215  1410
    1    64    39    38     4     0     0     0  1215  1410
    1    65    39    38     4     0     0     0  1215  1410
    1    65    39    38     3     0     0     0  1215  1410
    1    65    39    38     4     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    38     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    38     0     0     0     0  1215  1410
    1    66    39    38     0     0     0     0  1215  1410
    1    66    39    39     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39    11     8     0     0  1215  1410
    1    67    39    39    24     1     0     0  1215  1410
    1    67    39    39    23     1     0     0  1215  1410
    1    67    39    39    32     1     0     0  1215  1410
    1    67    39    39    34     1     0     0  1215  1410
    1    67    39    39    38     1     0     0  1215  1410
    1    67    39    39    12     0     0     0  1215  1410
    1    67    39    39     7     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    39    39     0     0     0     0  1215  1410
    1    65    40    39     0     0     0     0  1215  1410
    1    67    40    39    40     1     0     0  1215  1410
    1    65    40    39    39     1     0     0  1215  1410
    1    65    40    39    36     1     0     0  1215  1410
    1    65    40    39     0     0     0     0  1215  1410
    1    65    40    39     0     0     0     0  1215  1410
    1    65    40    39    39     1     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    65    40    39    27     1     0     0  1215  1410
    1    65    40    39     5     4     0     0  1215  1410
    1    67    40    39    19     0     0     0  1215  1410
    1    65    40    39    35     1     0     0  1215  1410
    1    65    40    39     6     4     0     0  1215  1410
    1    67    40    39    38     1     0     0  1215  1410
    1    65    40    40     1     0     0     0  1215  1410
    1    65    40    40     6     4     0     0  1215  1410
    1    67    40    40    24     1     0     0  1215  1410
    1    65    40    40    28     1     0     0  1215  1410
    1   158    40    41     0     0     0     0  1215  1410
    1    65    40    40     6     4     0     0  1215  1410
    1    67    40    40    13     0     0     0  1215  1410
    1    66    40    40    41     1     0     0  1215  1410
    1    66    40    40     9     0     0     0  1215  1410
    1    66    40    40     5     4     0     0  1215  1410
    1    67    40    40     6     4     0     0  1215  1410
    1    66    40    40    43     1     0     0  1215  1410
    1    88    41    41     6     0     0     0  1215  1410
    1    67    40    40     6     4     0     0  1215  1410
    1    66    40    40    36     1     0     0  1215  1410
    1    66    40    40     5     4     0     0  1215  1410
    1    68    40    40    19     0     0     0  1215  1410
    1    66    40    40     0     0     0     0  1215  1410
    1    66    40    40     0     0     0     0  1215  1410
    1    66    40    40     5     0     0     0  1215  1410
    1    66    40    40     7     1     0     0  1215  1410
    1    66    40    40     4     0     0     0  1215  1410
    1    66    40    40     2     0     0     0  1215  1410
    1    66    40    40     7     1     0     0  1215  1410
    1    66    41    40     7     1     0     0  1215  1410
    1    66    40    40     1     0     0     0  1215  1410
    1    66    41    40     0     0     0     0  1215  1410
    1    68    41    40    41     1     0     0  1215  1410
    1    66    41    40    20     0     0     0  1215  1410
    1    70    41    40     5     4     0     0  1215  1410
