# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    77    49    48     0     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    44    47    47     0     0     0     0  1215   225
    1    44    47    47     0     0     0     0  1215   210
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    76    48    47    14     0     0     0  1215  1410
    1   134    49    50     9     5     0     0  1215  1410
    1    73    49    48     8     5     0     0  1215  1410
    1    73    48    48     0     0     0     0  1215  1410
    1    75    48    48    22     0     0     0  1215  1410
    1    76    48    48    48     1     0     0  1215  1410
    1    73    48    47    31     1     0     0  1215  1410
    1    75    49    48     8     5     0     0  1215  1410
    1    75    48    48    49     1     0     0  1215  1410
    1    73    48    48    35     1     0     0  1215  1410
    1    78    49    48     8     5     0     0  1215  1410
    1    73    49    48     3     2     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    75    49    48    27     1     0     0  1215  1410
    1    74    49    48    10     2     0     0  1215  1410
    1    75    49    48     1     0     0     0  1215  1410
    1    73    49    47     4     0     0     0  1215  1410
    1    73    49    48     1     0     0     0  1215  1410
    1    73    49    47     2     0     0     0  1215  1410
    1    73    48    47     1     0     0     0  1215  1410
    1    73    48    48     1     0     0     0  1215  1410
    1    73    48    47     2     0     0     0  1215  1410
    1    73    48    47     1     0     0     0  1215  1410
    1    73    48    47     3     0     0     0  1215  1410
    1    73    48    47     3     0     0     0  1215  1410
    1    73    48    47     2     0     0     0  1215  1410
    1    73    48    48     3     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    48     0     0     0     0  1215  1410
    1    75    49    48    40     1     0     0  1215  1410
    1    86    49    48    28     1     0     0  1215  1410
    1    73    48    47     3     1     0     0  1215  1410
    1    75    49    48    42     1     0     0  1215  1410
    1    74    49    48     9     1     0     0  1215  1410
    1    73    48    48     0     0     0     0  1215  1410
    1    75    49    48    23     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    82    49    48    27     1     0     0  1215  1410
    1    75    49    48     3     1     0     0  1215  1410
    1    74    49    48     9     0     0     0  1215  1410
    1    73    49    48     1     0     0     0  1215  1410
    1    75    49    48    48     1     0     0  1215  1410
    1    74    49    48     2     1     0     0  1215  1410
    1    76    49    48    34     1     0     0  1215  1410
    1   108    49    48     6     0     0     0  1215  1410
    1    75    49    48     6     0     0     0  1215  1410
    1    74    49    48    42     1     0     0  1215  1410
    1    74    49    48     2     1     0     0  1215  1410
    1    74    48    47     6     0     0     0  1215  1410
    1    74    49    48     7     0     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    74    49    48    46     1     0     0  1215  1410
    1    75    49    47     3     1     0     0  1215  1410
    1    73    49    48    48     1     0     0  1215  1410
    1    73    49    47     0     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    73    49    47    16     1     0     0  1215  1410
    1    73    49    47     1     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    73    48    48    14     0     0     0  1215  1410
    1    74    49    48    16     1     0     0  1215  1410
    1    74    49    48     6     1     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    49    48    11     0     0     0  1215  1410
    1    74    49    47    12     1     0     0  1215  1410
    1    74    49    48     7     1     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    49    48    12     0     0     0  1215  1410
    1    74    49    48    13     1     0     0  1215  1410
    1    77    49    48     4     1     0     0  1215  1410
    1    74    49    47     3     1     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    73    48    48    12     1     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    48    47     0     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    73    48    48     0     0     0     0  1215  1410
    1    73    49    48    47     1     0     0  1215  1410
    1    73    49    48     1     0     0     0  1215  1410
    1    75    49    48    37     1     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    73    49    48    29     1     0     0  1215  1410
    1    74    49    48     3     1     0     0  1215  1410
    1    75    49    48    37     1     0     0  1215  1410
    1    73    49    47    33     1     0     0  1215  1410
    1    74    49    48     2     1     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    75    49    48    32     1     0     0  1215  1410
    1    73    49    47    35     1     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    75    49    48     1     0     0     0  1215  1410
    1    74    49    48    42     1     0     0  1215  1410
    1    75    49    48     9     0     0     0  1215  1410
    1    75    49    48     3     1     0     0  1215  1410
    1    74    49    48    43     1     0     0  1215  1410
    1    74    49    48     3     1     0     0  1215  1410
    1    75    49    48    31     1     0     0  1215  1410
    1    74    49    48     8     0     0     0  1215  1410
    1    75    49    48     4     0     0     0  1215  1410
    1    74    49    48    36     1     0     0  1215  1410
    1    74    49    48     3     1     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    74    49    48    14     1     0     0  1215  1410
    1    76    49    48     4     1     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    74    49    48     8     0     0     0  1215  1410
    1    74    49    48    15     0     0     0  1215  1410
    1    74    49    48     1     0     0     0  1215  1410
    1    74    49    48     7     0     0     0  1215  1410
    1    74    49    48    15     0     0     0  1215  1410
    1    75    49    48     7     1     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    74    49    48     7     1     0     0  1215  1410
    1    74    49    48     0     0     0     0  1215  1410
    1    74    49    48     6     0     0     0  1215  1410
    1    74    49    48     9     1     0     0  1215  1410
    1    74    49    48     9     1     0     0  1215  1410
    1    73    49    48     5     0     0     0  1215  1410
    1    73    49    48     6     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
    1    73    49    48     0     0     0     0  1215  1410
