# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    67    42    41     1     0     0     0  1215  1410
    1    67    42    42     1     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    69    42    42     6     0     0     0  1215  1410
    1    68    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    68    42    42     0     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     1     0     0     0  1215  1410
    1    68    42    42     6     0     0     0  1215  1410
    1    68    42    42     0     0     0     0  1215  1410
    1    68    42    42     1     0     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    68    43    42     3     1     0     0  1215  1410
    1    67    42    42     0     0     0     0  1215  1410
    1    67    42    42     8     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42    10     1     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     7     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     1     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    69    43    42     2     1     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
    1    68    43    42     1     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     2     0     0     0  1215  1410
    1    68    43    42     7     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    67    43    42     0     0     0     0  1215  1410
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk
# Idx     W     C     C     %     %     %     %   MHz   MHz
    1    68    43    42     1     0     0     0  1215  1410
    1    68    43    42     8     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     3     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42     1     0     0     0  1215  1410
    1    68    43    42     0     0     0     0  1215  1410
    1    68    43    42    10     1     0     0  1215  1410
